# Time-averaged data for fix aveE
# TimeStep v_varbias
11420000 0.496581
11430000 0.498186
11440000 0.499779
11450000 0.501359
11460000 0.502927
11470000 0.504482
11480000 0.506024
11490000 0.507554
11500000 0.509072
11510000 0.510576
11520000 0.512068
11530000 0.513547
11540000 0.515013
11550000 0.516466
11560000 0.517906
11570000 0.519334
11580000 0.520748
11590000 0.52215
11600000 0.523538
11610000 0.524913
11620000 0.526275
11630000 0.527624
11640000 0.52896
11650000 0.530282
11660000 0.531592
11670000 0.532888
11680000 0.53417
11690000 0.53544
11700000 0.536695
11710000 0.537938
11720000 0.539167
11730000 0.540383
11740000 0.541585
11750000 0.542773
11760000 0.543948
11770000 0.545109
11780000 0.546257
11790000 0.547391
11800000 0.548512
11810000 0.549618
11820000 0.550711
11830000 0.55179
11840000 0.552856
11850000 0.553907
11860000 0.554945
11870000 0.555969
11880000 0.556979
11890000 0.557975
11900000 0.558957
11910000 0.559925
11920000 0.560879
11930000 0.561819
11940000 0.562745
11950000 0.563657
11960000 0.564555
11970000 0.565439
11980000 0.566308
11990000 0.567164
12000000 0.568005
12010000 0.568832
12020000 0.569645
12030000 0.570443
12040000 0.571228
12050000 0.571998
12060000 0.572754
12070000 0.573495
12080000 0.574222
12090000 0.574935
12100000 0.575633
12110000 0.576317
12120000 0.576987
12130000 0.577642
12140000 0.578283
12150000 0.578909
12160000 0.579521
12170000 0.580118
12180000 0.580701
12190000 0.581269
12200000 0.581823
12210000 0.582362
12220000 0.582887
12230000 0.583397
12240000 0.583892
12250000 0.584373
12260000 0.584839
12270000 0.585291
12280000 0.585728
12290000 0.586151
12300000 0.586558
12310000 0.586951
12320000 0.58733
12330000 0.587693
12340000 0.588042
12350000 0.588377
12360000 0.588696
12370000 0.589001
12380000 0.589291
12390000 0.589567
12400000 0.589828
12410000 0.590073
12420000 0.590305
12430000 0.590521
12440000 0.590723
12450000 0.59091
12460000 0.591082
12470000 0.591239
12480000 0.591382
12490000 0.591509
12500000 0.591622
12510000 0.591721
12520000 0.591804
12530000 0.591873
12540000 0.591927
12550000 0.591966
12560000 0.59199
12570000 0.591999
12580000 0.591994
12590000 0.591974
12600000 0.591939
12610000 0.591889
12620000 0.591824
12630000 0.591745
12640000 0.591651
12650000 0.591542
12660000 0.591418
12670000 0.59128
12680000 0.591126
12690000 0.590958
12700000 0.590775
12710000 0.590578
12720000 0.590365
12730000 0.590138
12740000 0.589896
12750000 0.58964
12760000 0.589368
12770000 0.589082
12780000 0.588781
12790000 0.588466
12800000 0.588135
12810000 0.587791
12820000 0.587431
12830000 0.587056
12840000 0.586667
12850000 0.586264
12860000 0.585845
12870000 0.585412
12880000 0.584965
12890000 0.584502
12900000 0.584026
12910000 0.583534
12920000 0.583028
12930000 0.582507
12940000 0.581972
12950000 0.581422
12960000 0.580858
12970000 0.580279
12980000 0.579686
12990000 0.579078
13000000 0.578456
13010000 0.577819
13020000 0.577168
13030000 0.576502
13040000 0.575822
13050000 0.575128
13060000 0.574419
13070000 0.573696
13080000 0.572958
13090000 0.572206
13100000 0.57144
13110000 0.57066
13120000 0.569865
13130000 0.569056
13140000 0.568233
13150000 0.567396
13160000 0.566544
13170000 0.565678
13180000 0.564798
13190000 0.563904
13200000 0.562996
13210000 0.562074
13220000 0.561138
13230000 0.560188
13240000 0.559224
13250000 0.558245
13260000 0.557253
13270000 0.556247
13280000 0.555227
13290000 0.554193
13300000 0.553145
13310000 0.552084
13320000 0.551008
13330000 0.549919
13340000 0.548816
13350000 0.5477
13360000 0.546569
13370000 0.545425
13380000 0.544268
13390000 0.543096
13400000 0.541912
13410000 0.540713
13420000 0.539501
13430000 0.538276
13440000 0.537037
13450000 0.535785
13460000 0.534519
13470000 0.53324
13480000 0.531948
13490000 0.530642
13500000 0.529324
13510000 0.527991
13520000 0.526646
13530000 0.525288
13540000 0.523916
13550000 0.522531
13560000 0.521133
13570000 0.519723
13580000 0.518299
13590000 0.516862
13600000 0.515412
13610000 0.51395
13620000 0.512474
13630000 0.510986
13640000 0.509485
13650000 0.507971
13660000 0.506445
13670000 0.504906
13680000 0.503354
13690000 0.50179
13700000 0.500213
13710000 0.498624
13720000 0.497022
13730000 0.495408
13740000 0.493781
13750000 0.492142
13760000 0.490491
13770000 0.488827
13780000 0.487151
13790000 0.485463
13800000 0.483763
13810000 0.482051
13820000 0.480327
13830000 0.478591
13840000 0.476842
13850000 0.475082
13860000 0.47331
13870000 0.471526
13880000 0.469731
13890000 0.467923
13900000 0.466104
13910000 0.464274
13920000 0.462431
13930000 0.460577
13940000 0.458712
13950000 0.456835
13960000 0.454947
13970000 0.453047
13980000 0.451136
13990000 0.449214
14000000 0.447281
14010000 0.445336
14020000 0.44338
14030000 0.441413
14040000 0.439435
14050000 0.437446
14060000 0.435446
14070000 0.433436
14080000 0.431414
14090000 0.429382
14100000 0.427339
14110000 0.425285
14120000 0.42322
14130000 0.421145
14140000 0.41906
14150000 0.416964
14160000 0.414858
14170000 0.412741
14180000 0.410614
14190000 0.408476
14200000 0.406329
14210000 0.404171
14220000 0.402003
14230000 0.399825
14240000 0.397637
14250000 0.395439
14260000 0.393232
14270000 0.391014
14280000 0.388787
14290000 0.38655
14300000 0.384303
14310000 0.382047
14320000 0.379781
14330000 0.377506
14340000 0.375221
14350000 0.372927
14360000 0.370623
14370000 0.36831
14380000 0.365988
14390000 0.363657
14400000 0.361317
14410000 0.358968
14420000 0.35661
14430000 0.354242
14440000 0.351866
14450000 0.349482
14460000 0.347088
14470000 0.344686
14480000 0.342275
14490000 0.339856
14500000 0.337428
14510000 0.334991
14520000 0.332547
14530000 0.330094
14540000 0.327632
14550000 0.325163
14560000 0.322685
14570000 0.3202
14580000 0.317706
14590000 0.315205
14600000 0.312695
14610000 0.310178
14620000 0.307653
14630000 0.30512
14640000 0.30258
14650000 0.300032
14660000 0.297476
14670000 0.294913
14680000 0.292343
