# Time-averaged data for fix aveIp
# TimeStep c_Ip
8490000 -0.110449
8500000 -0.107835
8510000 -0.105109
8520000 -0.102977
8530000 -0.0990675
8540000 -0.0971085
8550000 -0.0951084
8560000 -0.0923021
8570000 -0.088776
8580000 -0.0858053
8590000 -0.0836125
8600000 -0.0815836
8610000 -0.0796487
8620000 -0.0759677
8630000 -0.0735323
8640000 -0.0714971
8650000 -0.0689353
8660000 -0.0663709
8670000 -0.0642027
8680000 -0.0618046
8690000 -0.0598959
8700000 -0.0585702
8710000 -0.0559515
8720000 -0.0531209
8730000 -0.0510347
8740000 -0.0491209
8750000 -0.0473306
8760000 -0.0442323
8770000 -0.0428919
8780000 -0.0410732
8790000 -0.038182
8800000 -0.0373842
8810000 -0.0350376
8820000 -0.0333521
8830000 -0.0310836
8840000 -0.0298733
8850000 -0.0279895
8860000 -0.0275404
8870000 -0.0254772
8880000 -0.0230719
8890000 -0.0217432
8900000 -0.0209921
8910000 -0.0202321
8920000 -0.0192287
8930000 -0.0176861
8940000 -0.0162958
8950000 -0.015072
8960000 -0.0147309
8970000 -0.0137111
8980000 -0.0124601
8990000 -0.0120382
9000000 -0.0108609
9010000 -0.0104738
9020000 -0.00910988
9030000 -0.00825946
9040000 -0.00763039
9050000 -0.0065483
9060000 -0.00608456
9070000 -0.00557117
9080000 -0.00532032
9090000 -0.00527129
9100000 -0.00467797
9110000 -0.00421153
9120000 -0.0038491
9130000 -0.00366752
9140000 -0.00317505
9150000 -0.00280627
9160000 -0.00250446
9170000 -0.0024558
9180000 -0.00215999
9190000 -0.0019806
9200000 -0.00156082
9210000 -0.00157826
9220000 -0.00138607
9230000 -0.00123487
9240000 -0.00108924
9250000 -0.000827615
9260000 -0.000893745
9270000 -0.000706269
9280000 -0.000687748
9290000 -0.000603704
9300000 -0.000430434
9310000 -0.000481405
9320000 -0.000450927
9330000 -0.000395383
9340000 -0.000293291
9350000 -0.000318629
9360000 -0.000332971
9370000 -0.000296692
9380000 -0.000183363
9390000 -0.000180025
9400000 -6.35314e-05
9410000 -2.00595e-05
9420000 4.00099e-05
9430000 8.42561e-07
9440000 7.81525e-05
9450000 0.000123213
9460000 -0.000103794
9470000 0.000245471
9480000 0.000216973
9490000 0.000264067
9500000 0.000390062
9510000 0.000300941
9520000 0.000320693
9530000 0.000293642
9540000 0.000329119
9550000 0.000477506
9560000 0.000404396
9570000 0.000414313
9580000 0.000513122
9590000 0.000625868
9600000 0.000444012
9610000 0.000520215
9620000 0.000648003
9630000 0.000506958
9640000 0.000674502
9650000 0.000725674
9660000 0.000865998
9670000 0.00106756
9680000 0.00107933
9690000 0.00118961
9700000 0.0015192
9710000 0.00159658
9720000 0.00184677
9730000 0.0021678
9740000 0.00254363
9750000 0.00291541
9760000 0.00324427
9770000 0.00324603
9780000 0.00396264
9790000 0.00428461
9800000 0.00505839
9810000 0.00545399
9820000 0.00618303
9830000 0.00669383
9840000 0.00704524
9850000 0.00775049
9860000 0.00864021
9870000 0.00969885
9880000 0.010899
9890000 0.0120542
9900000 0.0127726
9910000 0.0136277
9920000 0.0154747
9930000 0.0168576
9940000 0.0172521
9950000 0.0185016
9960000 0.0202328
9970000 0.0202305
9980000 0.0222708
9990000 0.0246686
10000000 0.0263676
10010000 0.0278376
10020000 0.0284889
10030000 0.0307575
10040000 0.0323916
10050000 0.0340833
10060000 0.0359645
10070000 0.0386477
10080000 0.040475
10090000 0.0424199
10100000 0.0435548
10110000 0.0451561
10120000 0.0475615
10130000 0.0508008
10140000 0.0523709
10150000 0.0544853
10160000 0.0556578
10170000 0.0593494
10180000 0.0623427
10190000 0.0647943
10200000 0.0661971
10210000 0.0673333
10220000 0.0700131
10230000 0.0744875
10240000 0.0760115
10250000 0.0788817
10260000 0.0814956
10270000 0.0838905
10280000 0.0868947
10290000 0.0895713
10300000 0.0915039
10310000 0.095304
10320000 0.0974291
10330000 0.0985201
10340000 0.101836
10350000 0.104216
10360000 0.108263
10370000 0.109181
10380000 0.112525
10390000 0.115982
10400000 0.118232
10410000 0.12106
10420000 0.123756
10430000 0.126612
10440000 0.129506
10450000 0.131445
10460000 0.133696
10470000 0.137699
10480000 0.140144
10490000 0.143419
10500000 0.14594
10510000 0.148102
10520000 0.150399
10530000 0.15317
10540000 0.155424
10550000 0.158682
10560000 0.16047
10570000 0.163132
10580000 0.166091
10590000 0.168418
10600000 0.171849
10610000 0.173131
10620000 0.17639
10630000 0.179394
10640000 0.180741
10650000 0.184134
10660000 0.185612
10670000 0.188095
10680000 0.190776
10690000 0.193303
10700000 0.195496
10710000 0.197962
10720000 0.200113
10730000 0.202563
10740000 0.204855
10750000 0.207087
10760000 0.209382
10770000 0.211974
10780000 0.213428
10790000 0.215736
10800000 0.218547
10810000 0.22056
10820000 0.222902
10830000 0.224642
10840000 0.226671
10850000 0.228532
10860000 0.231089
10870000 0.232403
10880000 0.235103
10890000 0.236904
10900000 0.239858
10910000 0.241361
10920000 0.243565
10930000 0.245073
10940000 0.247086
10950000 0.249259
10960000 0.251346
10970000 0.253126
10980000 0.25535
10990000 0.256866
11000000 0.258831
11010000 0.260247
11020000 0.261871
11030000 0.264107
11040000 0.2655
11050000 0.267592
11060000 0.269229
11070000 0.27126
11080000 0.273095
11090000 0.274388
11100000 0.276084
11110000 0.277789
11120000 0.279924
11130000 0.281064
11140000 0.282896
11150000 0.28428
11160000 0.285886
11170000 0.287211
11180000 0.289658
11190000 0.290945
11200000 0.292658
11210000 0.293647
11220000 0.295986
11230000 0.297005
11240000 0.298604
11250000 0.300291
11260000 0.301709
11270000 0.303361
11280000 0.304571
11290000 0.306685
11300000 0.307584
11310000 0.309016
11320000 0.310639
11330000 0.311495
11340000 0.313001
11350000 0.315026
11360000 0.315879
11370000 0.317164
11380000 0.318763
11390000 0.320163
11400000 0.321345
11410000 0.322158
11420000 0.323694
11430000 0.324675
11440000 0.326829
11450000 0.327799
11460000 0.328902
11470000 0.330585
11480000 0.331393
11490000 0.332619
11500000 0.333524
11510000 0.334987
11520000 0.336171
11530000 0.337617
11540000 0.338582
11550000 0.339786
11560000 0.340494
11570000 0.341751
11580000 0.342839
11590000 0.343889
11600000 0.345481
11610000 0.346302
11620000 0.347227
11630000 0.348122
11640000 0.349465
11650000 0.350086
11660000 0.351526
11670000 0.351903
11680000 0.353267
11690000 0.354191
11700000 0.355019
11710000 0.355993
11720000 0.3565
11730000 0.358227
11740000 0.358883
11750000 0.360154
11760000 0.361027
11770000 0.362128
11780000 0.362111
11790000 0.363498
11800000 0.364317
11810000 0.36479
11820000 0.366094
11830000 0.366433
11840000 0.367041
11850000 0.367968
11860000 0.369153
11870000 0.370125
11880000 0.370691
11890000 0.371298
11900000 0.371826
11910000 0.372763
11920000 0.373239
11930000 0.374193
11940000 0.374573
11950000 0.375219
11960000 0.376212
11970000 0.376942
11980000 0.377746
11990000 0.378486
12000000 0.378826
12010000 0.379149
12020000 0.380077
12030000 0.38085
12040000 0.381294
12050000 0.381931
12060000 0.382174
12070000 0.382589
12080000 0.383307
12090000 0.38398
12100000 0.384249
12110000 0.384891
12120000 0.385357
12130000 0.385781
12140000 0.386965
12150000 0.387054
12160000 0.387343
12170000 0.387566
12180000 0.388162
12190000 0.388724
12200000 0.38892
12210000 0.389364
12220000 0.389578
12230000 0.390022
12240000 0.390389
12250000 0.390656
12260000 0.390828
12270000 0.391656
12280000 0.391936
12290000 0.392164
12300000 0.392078
12310000 0.392934
12320000 0.392684
12330000 0.393067
12340000 0.392997
12350000 0.393458
12360000 0.393906
12370000 0.393665
12380000 0.394212
12390000 0.394644
12400000 0.394365
12410000 0.395013
12420000 0.394375
12430000 0.394826
12440000 0.395038
12450000 0.394475
12460000 0.395105
12470000 0.394926
12480000 0.395167
12490000 0.395094
12500000 0.395364
12510000 0.395451
12520000 0.395449
12530000 0.39498
12540000 0.395755
12550000 0.395848
12560000 0.395358
12570000 0.395608
12580000 0.395541
12590000 0.395235
12600000 0.395031
12610000 0.395233
12620000 0.395519
12630000 0.394853
12640000 0.395106
12650000 0.394829
