# Time-averaged data for fix aveIm
# TimeStep c_Im
11200000 -0.29276
11210000 -0.293686
11220000 -0.295996
11230000 -0.296931
11240000 -0.298794
11250000 -0.300244
11260000 -0.301997
11270000 -0.303282
11280000 -0.30473
11290000 -0.306636
11300000 -0.3076
11310000 -0.308769
11320000 -0.310321
11330000 -0.311667
11340000 -0.313143
11350000 -0.315212
11360000 -0.31577
11370000 -0.317057
11380000 -0.318696
11390000 -0.319956
11400000 -0.321118
11410000 -0.322212
11420000 -0.323816
11430000 -0.324667
11440000 -0.326396
11450000 -0.32765
11460000 -0.328549
11470000 -0.330532
11480000 -0.33134
11490000 -0.33253
11500000 -0.333455
11510000 -0.335182
11520000 -0.336189
11530000 -0.337861
11540000 -0.338491
11550000 -0.340016
11560000 -0.340697
11570000 -0.342035
11580000 -0.342894
11590000 -0.344292
11600000 -0.345219
11610000 -0.346445
11620000 -0.347292
11630000 -0.347996
11640000 -0.349598
11650000 -0.350228
11660000 -0.351319
11670000 -0.352142
11680000 -0.353269
11690000 -0.354016
11700000 -0.355369
11710000 -0.356248
11720000 -0.356698
11730000 -0.358024
11740000 -0.358809
11750000 -0.360319
11760000 -0.361372
11770000 -0.362096
11780000 -0.362376
11790000 -0.363725
11800000 -0.363992
11810000 -0.365005
11820000 -0.365973
11830000 -0.366489
11840000 -0.367192
11850000 -0.368189
11860000 -0.369055
11870000 -0.369946
11880000 -0.370799
11890000 -0.371658
11900000 -0.372108
11910000 -0.372907
11920000 -0.373334
11930000 -0.373815
11940000 -0.374854
11950000 -0.375504
11960000 -0.376195
11970000 -0.376671
11980000 -0.377501
11990000 -0.378388
12000000 -0.378787
12010000 -0.379281
12020000 -0.379688
12030000 -0.380568
12040000 -0.381276
12050000 -0.38187
12060000 -0.382435
12070000 -0.382482
12080000 -0.383531
12090000 -0.383795
12100000 -0.384315
12110000 -0.384956
12120000 -0.38544
12130000 -0.385956
12140000 -0.386652
12150000 -0.386783
12160000 -0.387349
12170000 -0.387422
12180000 -0.388125
12190000 -0.388995
12200000 -0.389007
12210000 -0.389196
12220000 -0.389684
12230000 -0.389801
12240000 -0.390183
12250000 -0.390756
12260000 -0.391163
12270000 -0.391673
12280000 -0.391928
12290000 -0.392467
12300000 -0.392322
12310000 -0.392556
12320000 -0.39272
12330000 -0.393072
12340000 -0.393183
12350000 -0.393709
12360000 -0.393869
12370000 -0.393588
12380000 -0.393882
12390000 -0.394534
12400000 -0.394307
12410000 -0.394859
12420000 -0.394641
12430000 -0.394792
12440000 -0.395035
12450000 -0.394815
12460000 -0.395057
12470000 -0.395068
12480000 -0.395432
12490000 -0.39528
12500000 -0.39532
12510000 -0.395399
12520000 -0.395616
12530000 -0.395123
12540000 -0.395515
12550000 -0.395528
12560000 -0.39541
12570000 -0.395631
12580000 -0.395564
12590000 -0.39533
12600000 -0.395167
12610000 -0.395569
12620000 -0.395374
12630000 -0.394786
12640000 -0.395234
12650000 -0.39474
12660000 -0.39479
12670000 -0.394683
12680000 -0.394349
12690000 -0.39386
12700000 -0.393973
12710000 -0.393571
12720000 -0.393828
12730000 -0.393313
12740000 -0.393431
12750000 -0.393115
12760000 -0.392918
12770000 -0.392516
12780000 -0.39183
12790000 -0.391305
12800000 -0.39117
12810000 -0.390898
12820000 -0.390539
12830000 -0.390605
12840000 -0.390423
12850000 -0.389425
12860000 -0.388723
12870000 -0.389041
12880000 -0.388292
12890000 -0.388308
12900000 -0.387962
12910000 -0.387747
12920000 -0.387587
12930000 -0.387007
12940000 -0.386899
12950000 -0.385956
12960000 -0.385282
12970000 -0.384929
12980000 -0.384935
12990000 -0.384394
13000000 -0.383752
13010000 -0.383519
13020000 -0.383205
13030000 -0.382824
13040000 -0.381566
13050000 -0.381026
13060000 -0.380784
13070000 -0.380055
13080000 -0.379423
13090000 -0.379004
13100000 -0.378587
13110000 -0.37773
13120000 -0.377576
13130000 -0.376948
13140000 -0.376561
13150000 -0.37521
13160000 -0.375146
13170000 -0.374415
13180000 -0.373572
13190000 -0.372827
13200000 -0.372367
13210000 -0.371198
13220000 -0.37074
13230000 -0.369837
13240000 -0.369546
13250000 -0.368237
13260000 -0.367758
13270000 -0.367283
13280000 -0.366671
13290000 -0.36573
13300000 -0.36456
13310000 -0.364242
13320000 -0.363291
13330000 -0.362642
13340000 -0.361932
13350000 -0.361163
13360000 -0.360173
13370000 -0.359562
13380000 -0.358447
13390000 -0.357739
13400000 -0.356634
13410000 -0.355526
13420000 -0.354902
13430000 -0.353817
13440000 -0.352801
13450000 -0.351874
13460000 -0.3508
13470000 -0.350111
13480000 -0.348851
13490000 -0.347754
13500000 -0.346983
13510000 -0.345339
13520000 -0.344503
13530000 -0.34388
13540000 -0.342475
13550000 -0.341367
13560000 -0.340061
13570000 -0.338701
13580000 -0.338015
13590000 -0.337506
13600000 -0.336024
13610000 -0.3352
13620000 -0.33414
13630000 -0.332872
13640000 -0.332055
13650000 -0.330746
13660000 -0.329804
13670000 -0.328963
13680000 -0.327244
13690000 -0.325953
13700000 -0.325305
13710000 -0.323405
13720000 -0.322779
13730000 -0.321114
13740000 -0.320338
13750000 -0.318863
13760000 -0.317293
13770000 -0.316294
13780000 -0.315045
13790000 -0.313743
13800000 -0.311727
13810000 -0.310622
13820000 -0.308801
13830000 -0.307863
13840000 -0.306621
13850000 -0.305014
13860000 -0.303676
13870000 -0.302553
13880000 -0.301246
13890000 -0.29929
13900000 -0.297877
13910000 -0.29618
13920000 -0.295082
13930000 -0.293884
13940000 -0.292187
13950000 -0.29116
13960000 -0.289009
13970000 -0.287232
13980000 -0.286229
13990000 -0.284516
14000000 -0.282853
14010000 -0.281129
14020000 -0.279362
14030000 -0.277768
14040000 -0.276451
14050000 -0.274415
14060000 -0.272738
14070000 -0.271152
14080000 -0.269238
14090000 -0.267527
14100000 -0.266465
14110000 -0.263317
14120000 -0.261924
14130000 -0.259913
14140000 -0.258407
14150000 -0.256613
14160000 -0.254222
14170000 -0.253233
14180000 -0.25146
14190000 -0.249297
14200000 -0.247484
14210000 -0.245371
14220000 -0.243087
14230000 -0.241382
